name,description,category,price,calories,protein,fat,carbohydrates,image
Turkey Club Sandwich #219,Rich in flavor and nutrients.,Drink,16.5,173,9.0,16.5,29.8,https://example.com/images/item_219.jpg
Cheeseburger #220,Rich in flavor and nutrients.,Pizza,8.7,228,9.4,4.5,47.3,https://example.com/images/item_220.jpg
Turkey Club Sandwich #221,Served with a side of bread.,Sandwich,13.74,401,28.1,11.4,13.7,https://example.com/images/item_221.jpg
Vegan Buddha Bowl #222,Topped with fresh herbs.,Bowl,12.72,184,18.7,16.3,31.1,https://example.com/images/item_222.jpg
Cheeseburger #223,A customer favorite with premium ingredients.,Pasta,8.82,705,11.9,11.1,78.4,https://example.com/images/item_223.jpg
Quinoa Salad #224,Topped with fresh herbs.,Burger,5.37,202,25.7,16.4,67.3,https://example.com/images/item_224.jpg
Veggie Wrap #225,Rich in flavor and nutrients.,Salad,18.52,554,24.3,11.3,44.2,https://example.com/images/item_225.jpg
Margherita Pizza #226,A customer favorite with premium ingredients.,Salad,16.85,744,21.1,12.1,47.9,https://example.com/images/item_226.jpg
Margherita Pizza #227,Rich in flavor and nutrients.,Soup,15.37,358,25.1,24.5,42.8,https://example.com/images/item_227.jpg
Lemonade #228,Rich in flavor and nutrients.,Pasta,13.68,749,26.1,10.9,21.4,https://example.com/images/item_228.jpg
Lemonade #229,Rich in flavor and nutrients.,Salad,17.37,528,23.8,5.6,60.9,https://example.com/images/item_229.jpg
Chicken Alfredo Pasta #230,Served with a side of bread.,Drink,14.48,258,29.0,21.7,12.0,https://example.com/images/item_230.jpg
Spaghetti Bolognese #231,Rich in flavor and nutrients.,Pasta,16.42,629,16.2,7.5,69.6,https://example.com/images/item_231.jpg
Grilled Chicken Sandwich #232,Served with a side of bread.,Wrap,9.78,487,25.5,7.1,61.7,https://example.com/images/item_232.jpg
Pepperoni Pizza #233,A customer favorite with premium ingredients.,Pasta,13.02,572,26.9,23.5,21.1,https://example.com/images/item_233.jpg
Tomato Soup #234,Delicious and freshly prepared.,Pizza,17.5,279,8.6,21.7,44.8,https://example.com/images/item_234.jpg
Tomato Soup #235,Rich in flavor and nutrients.,Wrap,5.53,595,8.8,6.6,42.2,https://example.com/images/item_235.jpg
Lemonade #236,A customer favorite with premium ingredients.,Burger,7.44,666,21.6,14.4,24.9,https://example.com/images/item_236.jpg
Chicken Alfredo Pasta #237,Perfect for lunch or dinner.,Sandwich,9.24,296,19.8,23.7,12.9,https://example.com/images/item_237.jpg
Veggie Wrap #238,Delicious and freshly prepared.,Salad,16.38,530,14.1,16.3,35.9,https://example.com/images/item_238.jpg
Caesar Salad #239,Served with a side of bread.,Sandwich,17.43,650,8.1,10.9,75.7,https://example.com/images/item_239.jpg
Caesar Salad #240,Delicious and freshly prepared.,Wrap,6.82,431,25.1,20.7,39.4,https://example.com/images/item_240.jpg
Chicken Alfredo Pasta #241,A customer favorite with premium ingredients.,Bowl,6.0,612,24.5,5.2,39.4,https://example.com/images/item_241.jpg
Vegan Buddha Bowl #242,Served with a side of bread.,Wrap,11.54,296,26.7,4.9,33.6,https://example.com/images/item_242.jpg
Vegan Buddha Bowl #243,Topped with fresh herbs.,Soup,13.3,516,18.5,12.8,42.4,https://example.com/images/item_243.jpg
Quinoa Salad #244,Delicious and freshly prepared.,Bowl,11.35,442,15.9,16.3,79.7,https://example.com/images/item_244.jpg
Pepperoni Pizza #245,A customer favorite with premium ingredients.,Pasta,19.91,629,19.9,23.7,62.2,https://example.com/images/item_245.jpg
Lemonade #246,Rich in flavor and nutrients.,Dessert,8.18,236,21.1,14.4,24.4,https://example.com/images/item_246.jpg
Grilled Chicken Sandwich #247,Rich in flavor and nutrients.,Salad,14.29,735,28.5,8.5,36.9,https://example.com/images/item_247.jpg
Greek Salad #248,Served with a side of bread.,Sandwich,15.01,443,19.6,21.3,28.8,https://example.com/images/item_248.jpg
Caesar Salad #249,Rich in flavor and nutrients.,Pasta,18.11,375,13.0,19.6,56.7,https://example.com/images/item_249.jpg
Veggie Wrap #250,Delicious and freshly prepared.,Dessert,14.41,677,26.6,12.2,67.7,https://example.com/images/item_250.jpg
Caesar Salad #251,Perfect for lunch or dinner.,Pasta,14.64,195,21.3,6.9,55.4,https://example.com/images/item_251.jpg
Greek Salad #252,A customer favorite with premium ingredients.,Bowl,8.83,300,23.1,12.7,22.9,https://example.com/images/item_252.jpg
Veggie Wrap #253,Delicious and freshly prepared.,Pizza,12.94,677,12.3,17.9,59.4,https://example.com/images/item_253.jpg
Chicken Alfredo Pasta #254,Perfect for lunch or dinner.,Burger,19.97,621,9.9,17.3,36.7,https://example.com/images/item_254.jpg
Greek Salad #255,Topped with fresh herbs.,Soup,15.27,306,5.2,13.3,71.6,https://example.com/images/item_255.jpg
Spaghetti Bolognese #256,Perfect for lunch or dinner.,Bowl,15.13,422,10.9,9.9,55.1,https://example.com/images/item_256.jpg
Tomato Soup #257,Rich in flavor and nutrients.,Dessert,6.14,535,21.7,18.1,48.1,https://example.com/images/item_257.jpg
Margherita Pizza #258,A customer favorite with premium ingredients.,Wrap,18.6,767,15.8,20.6,35.2,https://example.com/images/item_258.jpg
Grilled Chicken Sandwich #259,Rich in flavor and nutrients.,Pasta,12.48,148,21.7,3.9,49.9,https://example.com/images/item_259.jpg
Chicken Alfredo Pasta #260,Served with a side of bread.,Burger,10.98,304,10.4,21.2,40.4,https://example.com/images/item_260.jpg
Quinoa Salad #261,Perfect for lunch or dinner.,Pasta,13.38,289,9.8,5.5,23.5,https://example.com/images/item_261.jpg
Chicken Alfredo Pasta #262,Delicious and freshly prepared.,Dessert,7.84,307,29.6,16.9,39.0,https://example.com/images/item_262.jpg
Greek Salad #263,Rich in flavor and nutrients.,Sandwich,6.69,764,18.6,20.4,66.8,https://example.com/images/item_263.jpg
Quinoa Salad #264,Delicious and freshly prepared.,Bowl,9.62,158,20.2,21.6,71.0,https://example.com/images/item_264.jpg
Caesar Salad #265,Topped with fresh herbs.,Dessert,15.71,255,8.6,6.3,62.4,https://example.com/images/item_265.jpg
Vegan Buddha Bowl #266,A customer favorite with premium ingredients.,Pasta,7.63,573,16.0,20.3,13.9,https://example.com/images/item_266.jpg
Caesar Salad #267,Served with a side of bread.,Dessert,13.6,359,8.2,4.4,45.1,https://example.com/images/item_267.jpg
Veggie Wrap #268,Delicious and freshly prepared.,Bowl,7.1,353,21.3,12.5,67.1,https://example.com/images/item_268.jpg
Vegan Buddha Bowl #269,Topped with fresh herbs.,Salad,6.14,535,7.7,7.1,51.6,https://example.com/images/item_269.jpg
Chicken Alfredo Pasta #270,Delicious and freshly prepared.,Drink,17.51,271,29.5,14.7,50.2,https://example.com/images/item_270.jpg
Grilled Chicken Sandwich #271,Served with a side of bread.,Soup,9.66,404,24.8,6.4,44.6,https://example.com/images/item_271.jpg
Vegan Buddha Bowl #272,A customer favorite with premium ingredients.,Salad,15.94,649,16.8,19.2,62.1,https://example.com/images/item_272.jpg
Vegan Buddha Bowl #273,Perfect for lunch or dinner.,Sandwich,13.76,173,29.9,15.1,73.1,https://example.com/images/item_273.jpg
Tomato Soup #274,Rich in flavor and nutrients.,Pasta,9.02,242,20.7,14.5,13.5,https://example.com/images/item_274.jpg
Grilled Chicken Sandwich #275,A customer favorite with premium ingredients.,Wrap,9.58,612,20.5,5.7,50.4,https://example.com/images/item_275.jpg
Margherita Pizza #276,Topped with fresh herbs.,Pizza,18.2,758,5.3,21.4,77.1,https://example.com/images/item_276.jpg
Spaghetti Bolognese #277,Served with a side of bread.,Burger,7.68,562,21.1,22.3,55.5,https://example.com/images/item_277.jpg
Caesar Salad #278,Delicious and freshly prepared.,Bowl,5.95,397,25.1,17.8,73.0,https://example.com/images/item_278.jpg
Vegan Buddha Bowl #279,Delicious and freshly prepared.,Pasta,18.63,631,26.0,8.2,23.0,https://example.com/images/item_279.jpg
Quinoa Salad #280,Served with a side of bread.,Soup,7.88,507,16.9,19.0,61.7,https://example.com/images/item_280.jpg
Greek Salad #281,Rich in flavor and nutrients.,Drink,9.82,774,25.3,12.0,72.9,https://example.com/images/item_281.jpg
Lemonade #282,Delicious and freshly prepared.,Soup,10.32,170,5.4,8.5,25.6,https://example.com/images/item_282.jpg
Spaghetti Bolognese #283,Rich in flavor and nutrients.,Sandwich,8.14,327,7.8,19.9,29.7,https://example.com/images/item_283.jpg
Quinoa Salad #284,Perfect for lunch or dinner.,Soup,16.84,682,17.5,9.7,76.5,https://example.com/images/item_284.jpg
Turkey Club Sandwich #285,A customer favorite with premium ingredients.,Pizza,8.53,132,10.3,11.9,71.2,https://example.com/images/item_285.jpg
Grilled Chicken Sandwich #286,A customer favorite with premium ingredients.,Bowl,19.61,326,9.7,10.1,19.2,https://example.com/images/item_286.jpg
Cheeseburger #287,Delicious and freshly prepared.,Dessert,8.43,350,7.3,5.0,11.5,https://example.com/images/item_287.jpg
Quinoa Salad #288,A customer favorite with premium ingredients.,Drink,11.54,212,21.8,12.9,58.3,https://example.com/images/item_288.jpg
Grilled Chicken Sandwich #289,A customer favorite with premium ingredients.,Salad,15.0,556,13.9,8.0,78.2,https://example.com/images/item_289.jpg
Margherita Pizza #290,Rich in flavor and nutrients.,Drink,6.39,376,10.2,16.3,55.1,https://example.com/images/item_290.jpg
Pepperoni Pizza #291,Perfect for lunch or dinner.,Burger,11.22,141,28.4,12.0,22.3,https://example.com/images/item_291.jpg
Margherita Pizza #292,Perfect for lunch or dinner.,Burger,14.92,140,9.3,5.3,27.6,https://example.com/images/item_292.jpg
Quinoa Salad #293,A customer favorite with premium ingredients.,Drink,16.81,680,28.4,18.2,21.7,https://example.com/images/item_293.jpg
Margherita Pizza #294,Served with a side of bread.,Wrap,7.6,771,12.8,18.3,41.0,https://example.com/images/item_294.jpg
Lemonade #295,Perfect for lunch or dinner.,Pizza,10.4,795,23.1,9.5,79.6,https://example.com/images/item_295.jpg
Lemonade #296,Served with a side of bread.,Pasta,7.17,305,29.0,19.5,77.7,https://example.com/images/item_296.jpg
Vegan Buddha Bowl #297,Topped with fresh herbs.,Dessert,8.61,636,13.6,23.8,51.7,https://example.com/images/item_297.jpg
Lemonade #298,A customer favorite with premium ingredients.,Salad,14.63,111,24.4,7.9,39.2,https://example.com/images/item_298.jpg
Turkey Club Sandwich #299,A customer favorite with premium ingredients.,Drink,19.44,459,12.9,18.3,25.3,https://example.com/images/item_299.jpg
Greek Salad #300,Perfect for lunch or dinner.,Dessert,9.82,611,25.8,6.7,77.2,https://example.com/images/item_300.jpg
Tomato Soup #301,A customer favorite with premium ingredients.,Drink,10.77,417,13.3,21.1,22.3,https://example.com/images/item_301.jpg
Quinoa Salad #302,Perfect for lunch or dinner.,Sandwich,6.1,433,17.6,12.9,29.2,https://example.com/images/item_302.jpg
Grilled Chicken Sandwich #303,Rich in flavor and nutrients.,Soup,10.57,754,18.5,10.8,38.2,https://example.com/images/item_303.jpg
Grilled Chicken Sandwich #304,Served with a side of bread.,Burger,8.27,331,12.0,14.9,52.3,https://example.com/images/item_304.jpg
Greek Salad #305,Served with a side of bread.,Bowl,6.08,654,25.6,10.1,34.9,https://example.com/images/item_305.jpg
Vegan Buddha Bowl #306,Served with a side of bread.,Drink,6.08,778,16.1,22.0,75.4,https://example.com/images/item_306.jpg
Pepperoni Pizza #307,Rich in flavor and nutrients.,Soup,7.59,225,28.2,13.2,66.3,https://example.com/images/item_307.jpg
Pepperoni Pizza #308,Rich in flavor and nutrients.,Soup,13.75,649,14.8,6.1,58.8,https://example.com/images/item_308.jpg
Chocolate Cake #309,Rich in flavor and nutrients.,Pasta,8.68,792,17.9,8.8,79.0,https://example.com/images/item_309.jpg
Caesar Salad #310,Delicious and freshly prepared.,Soup,12.7,646,21.3,17.5,15.6,https://example.com/images/item_310.jpg
Greek Salad #311,Perfect for lunch or dinner.,Drink,17.71,434,11.6,4.6,73.1,https://example.com/images/item_311.jpg
Spaghetti Bolognese #312,Rich in flavor and nutrients.,Drink,5.36,695,5.9,15.4,19.0,https://example.com/images/item_312.jpg
Vegan Buddha Bowl #313,Topped with fresh herbs.,Drink,9.51,286,28.2,10.9,65.1,https://example.com/images/item_313.jpg
Grilled Chicken Sandwich #314,Delicious and freshly prepared.,Burger,7.7,740,9.5,23.3,13.6,https://example.com/images/item_314.jpg
Vegan Buddha Bowl #315,Rich in flavor and nutrients.,Sandwich,10.17,162,7.6,21.6,32.9,https://example.com/images/item_315.jpg
Lemonade #316,Topped with fresh herbs.,Sandwich,19.38,213,12.1,14.9,42.9,https://example.com/images/item_316.jpg
Cheeseburger #317,A customer favorite with premium ingredients.,Wrap,14.15,519,19.3,11.0,30.6,https://example.com/images/item_317.jpg
Chicken Alfredo Pasta #318,Served with a side of bread.,Wrap,5.7,631,6.6,21.4,27.5,https://example.com/images/item_318.jpg
Caesar Salad #319,Perfect for lunch or dinner.,Wrap,18.53,409,24.3,7.1,33.5,https://example.com/images/item_319.jpg
Turkey Club Sandwich #320,Perfect for lunch or dinner.,Dessert,9.0,607,25.9,9.1,20.2,https://example.com/images/item_320.jpg
Margherita Pizza #321,Rich in flavor and nutrients.,Sandwich,9.58,317,10.9,21.2,51.1,https://example.com/images/item_321.jpg
Cheeseburger #322,Delicious and freshly prepared.,Bowl,18.36,733,18.6,7.3,39.2,https://example.com/images/item_322.jpg
Quinoa Salad #323,Perfect for lunch or dinner.,Dessert,8.7,450,27.8,14.6,39.3,https://example.com/images/item_323.jpg
Margherita Pizza #324,Perfect for lunch or dinner.,Pasta,19.53,423,11.5,11.6,27.2,https://example.com/images/item_324.jpg
Margherita Pizza #325,Rich in flavor and nutrients.,Wrap,18.89,190,25.5,14.2,39.5,https://example.com/images/item_325.jpg
Veggie Wrap #326,A customer favorite with premium ingredients.,Drink,12.09,291,10.9,22.4,66.2,https://example.com/images/item_326.jpg
Turkey Club Sandwich #327,Topped with fresh herbs.,Burger,11.94,196,20.1,10.1,40.6,https://example.com/images/item_327.jpg
Cheeseburger #328,Topped with fresh herbs.,Wrap,19.32,544,16.0,11.7,58.8,https://example.com/images/item_328.jpg
Margherita Pizza #329,Delicious and freshly prepared.,Bowl,7.63,597,10.0,13.5,39.2,https://example.com/images/item_329.jpg
Turkey Club Sandwich #330,Served with a side of bread.,Sandwich,16.68,588,12.2,21.1,49.5,https://example.com/images/item_330.jpg
Caesar Salad #331,Topped with fresh herbs.,Dessert,12.88,776,29.9,14.2,23.3,https://example.com/images/item_331.jpg
Turkey Club Sandwich #332,Topped with fresh herbs.,Pasta,11.64,108,11.1,21.0,53.2,https://example.com/images/item_332.jpg
Margherita Pizza #333,Topped with fresh herbs.,Bowl,6.81,537,13.1,15.1,42.7,https://example.com/images/item_333.jpg
Greek Salad #334,Served with a side of bread.,Salad,13.77,505,26.4,16.7,52.0,https://example.com/images/item_334.jpg
Greek Salad #335,Delicious and freshly prepared.,Wrap,17.29,519,27.4,18.6,71.0,https://example.com/images/item_335.jpg
Vegan Buddha Bowl #336,Topped with fresh herbs.,Sandwich,18.3,528,24.5,15.1,42.5,https://example.com/images/item_336.jpg
Caesar Salad #337,Delicious and freshly prepared.,Drink,17.42,748,8.2,12.3,57.8,https://example.com/images/item_337.jpg
Veggie Wrap #338,A customer favorite with premium ingredients.,Soup,13.81,420,27.8,17.3,50.6,https://example.com/images/item_338.jpg
Grilled Chicken Sandwich #339,Delicious and freshly prepared.,Sandwich,16.44,684,11.0,15.1,56.0,https://example.com/images/item_339.jpg
Veggie Wrap #340,Perfect for lunch or dinner.,Sandwich,6.78,188,25.6,15.6,53.2,https://example.com/images/item_340.jpg
Margherita Pizza #341,Topped with fresh herbs.,Bowl,13.65,381,22.0,12.7,39.6,https://example.com/images/item_341.jpg
Veggie Wrap #342,Delicious and freshly prepared.,Burger,11.07,174,22.3,4.7,70.4,https://example.com/images/item_342.jpg
Turkey Club Sandwich #343,Rich in flavor and nutrients.,Bowl,13.95,464,17.6,12.8,36.7,https://example.com/images/item_343.jpg
Turkey Club Sandwich #344,A customer favorite with premium ingredients.,Burger,18.9,599,21.0,6.3,77.5,https://example.com/images/item_344.jpg
Margherita Pizza #345,Topped with fresh herbs.,Pasta,8.81,282,22.6,9.7,55.6,https://example.com/images/item_345.jpg
Pepperoni Pizza #346,Delicious and freshly prepared.,Pasta,18.46,226,7.2,14.7,30.1,https://example.com/images/item_346.jpg
Tomato Soup #347,Perfect for lunch or dinner.,Pasta,6.2,189,28.2,16.5,32.1,https://example.com/images/item_347.jpg
Lemonade #348,Perfect for lunch or dinner.,Wrap,11.22,463,22.3,14.9,77.9,https://example.com/images/item_348.jpg
Lemonade #349,A customer favorite with premium ingredients.,Soup,18.57,283,26.6,6.9,33.8,https://example.com/images/item_349.jpg
Margherita Pizza #350,Topped with fresh herbs.,Burger,18.9,411,7.0,18.0,48.8,https://example.com/images/item_350.jpg
Caesar Salad #351,Perfect for lunch or dinner.,Dessert,8.06,113,28.7,12.7,30.7,https://example.com/images/item_351.jpg
Chicken Alfredo Pasta #352,Delicious and freshly prepared.,Dessert,15.97,177,11.6,3.0,60.4,https://example.com/images/item_352.jpg
Margherita Pizza #353,A customer favorite with premium ingredients.,Pizza,13.74,109,23.5,13.9,56.6,https://example.com/images/item_353.jpg
Tomato Soup #354,Topped with fresh herbs.,Burger,16.42,612,13.7,6.9,58.9,https://example.com/images/item_354.jpg
Lemonade #355,Perfect for lunch or dinner.,Sandwich,16.3,121,16.3,12.6,78.1,https://example.com/images/item_355.jpg
Chicken Alfredo Pasta #356,Rich in flavor and nutrients.,Salad,9.32,572,28.5,18.6,59.0,https://example.com/images/item_356.jpg
Tomato Soup #357,Delicious and freshly prepared.,Wrap,17.32,136,16.5,14.3,63.0,https://example.com/images/item_357.jpg
Lemonade #358,Topped with fresh herbs.,Drink,15.69,165,13.3,7.2,43.7,https://example.com/images/item_358.jpg
Chicken Alfredo Pasta #359,Served with a side of bread.,Dessert,6.87,278,18.1,3.6,65.3,https://example.com/images/item_359.jpg
Greek Salad #360,Rich in flavor and nutrients.,Pasta,18.9,572,16.4,6.4,60.3,https://example.com/images/item_360.jpg
Vegan Buddha Bowl #361,A customer favorite with premium ingredients.,Sandwich,15.76,382,10.5,9.9,17.5,https://example.com/images/item_361.jpg
Chicken Alfredo Pasta #362,Topped with fresh herbs.,Drink,6.23,739,15.8,18.4,18.6,https://example.com/images/item_362.jpg
Chocolate Cake #363,Topped with fresh herbs.,Burger,13.9,699,11.2,20.8,14.6,https://example.com/images/item_363.jpg
Pepperoni Pizza #364,Delicious and freshly prepared.,Sandwich,16.51,519,9.1,10.8,14.5,https://example.com/images/item_364.jpg
Margherita Pizza #365,Rich in flavor and nutrients.,Burger,16.18,394,8.7,4.0,33.3,https://example.com/images/item_365.jpg
Caesar Salad #366,Perfect for lunch or dinner.,Drink,19.76,174,13.4,10.3,50.4,https://example.com/images/item_366.jpg
Tomato Soup #367,Rich in flavor and nutrients.,Burger,14.21,666,23.5,15.2,65.5,https://example.com/images/item_367.jpg
Tomato Soup #368,Delicious and freshly prepared.,Pasta,14.26,614,17.7,20.1,70.5,https://example.com/images/item_368.jpg
Grilled Chicken Sandwich #369,Rich in flavor and nutrients.,Wrap,19.64,678,26.9,22.5,22.8,https://example.com/images/item_369.jpg
Cheeseburger #370,Perfect for lunch or dinner.,Burger,5.21,641,26.8,16.9,75.1,https://example.com/images/item_370.jpg
Chocolate Cake #371,A customer favorite with premium ingredients.,Soup,7.26,144,17.0,12.4,29.6,https://example.com/images/item_371.jpg
Lemonade #372,Topped with fresh herbs.,Salad,12.92,322,22.1,24.8,48.0,https://example.com/images/item_372.jpg
Lemonade #373,Delicious and freshly prepared.,Pasta,15.46,344,14.5,21.6,68.4,https://example.com/images/item_373.jpg
Greek Salad #374,Rich in flavor and nutrients.,Salad,18.99,153,23.9,22.8,28.6,https://example.com/images/item_374.jpg
Pepperoni Pizza #375,Perfect for lunch or dinner.,Soup,7.93,382,24.9,6.9,47.8,https://example.com/images/item_375.jpg
Spaghetti Bolognese #376,Delicious and freshly prepared.,Sandwich,9.32,172,18.9,23.1,60.6,https://example.com/images/item_376.jpg
Cheeseburger #377,Served with a side of bread.,Wrap,16.08,432,29.4,22.8,36.1,https://example.com/images/item_377.jpg
Quinoa Salad #378,Topped with fresh herbs.,Soup,9.29,480,6.4,9.6,55.5,https://example.com/images/item_378.jpg
Grilled Chicken Sandwich #379,Rich in flavor and nutrients.,Dessert,11.21,118,15.9,18.6,75.2,https://example.com/images/item_379.jpg
Pepperoni Pizza #380,Delicious and freshly prepared.,Burger,5.46,558,13.9,20.9,38.8,https://example.com/images/item_380.jpg
Margherita Pizza #381,Served with a side of bread.,Dessert,17.02,182,8.0,20.8,18.8,https://example.com/images/item_381.jpg
Quinoa Salad #382,Topped with fresh herbs.,Bowl,13.6,203,7.4,22.2,56.6,https://example.com/images/item_382.jpg
Grilled Chicken Sandwich #383,Topped with fresh herbs.,Pizza,14.07,529,8.5,18.7,46.9,https://example.com/images/item_383.jpg
Spaghetti Bolognese #384,Served with a side of bread.,Wrap,19.83,741,23.6,9.8,65.6,https://example.com/images/item_384.jpg
Greek Salad #385,Served with a side of bread.,Sandwich,14.85,465,20.0,17.5,54.0,https://example.com/images/item_385.jpg
Quinoa Salad #386,A customer favorite with premium ingredients.,Burger,17.0,226,17.7,3.3,21.6,https://example.com/images/item_386.jpg
Spaghetti Bolognese #387,Topped with fresh herbs.,Pasta,14.93,593,20.9,24.8,31.0,https://example.com/images/item_387.jpg
Cheeseburger #388,Delicious and freshly prepared.,Bowl,14.94,406,21.2,9.6,72.9,https://example.com/images/item_388.jpg
Vegan Buddha Bowl #389,A customer favorite with premium ingredients.,Soup,15.95,477,17.2,6.8,74.2,https://example.com/images/item_389.jpg
Cheeseburger #390,Perfect for lunch or dinner.,Dessert,12.05,181,28.8,4.3,58.5,https://example.com/images/item_390.jpg
Vegan Buddha Bowl #391,Perfect for lunch or dinner.,Bowl,12.6,509,21.7,6.9,20.5,https://example.com/images/item_391.jpg
Vegan Buddha Bowl #392,A customer favorite with premium ingredients.,Pasta,13.32,667,9.6,20.6,31.1,https://example.com/images/item_392.jpg
Vegan Buddha Bowl #393,Topped with fresh herbs.,Salad,6.4,200,28.8,15.3,28.5,https://example.com/images/item_393.jpg
Quinoa Salad #394,A customer favorite with premium ingredients.,Sandwich,17.42,257,8.6,10.1,22.3,https://example.com/images/item_394.jpg
Grilled Chicken Sandwich #395,Topped with fresh herbs.,Bowl,15.81,742,6.9,10.7,14.6,https://example.com/images/item_395.jpg
Pepperoni Pizza #396,Delicious and freshly prepared.,Salad,5.14,470,19.1,17.6,69.1,https://example.com/images/item_396.jpg
Turkey Club Sandwich #397,Perfect for lunch or dinner.,Bowl,8.97,465,22.9,4.8,60.2,https://example.com/images/item_397.jpg
Quinoa Salad #398,Perfect for lunch or dinner.,Bowl,17.39,250,13.9,25.0,67.9,https://example.com/images/item_398.jpg
Chocolate Cake #399,Topped with fresh herbs.,Pizza,9.35,249,13.1,22.5,33.0,https://example.com/images/item_399.jpg
Lemonade #400,Rich in flavor and nutrients.,Pasta,12.97,764,19.1,4.2,71.7,https://example.com/images/item_400.jpg
Turkey Club Sandwich #401,Perfect for lunch or dinner.,Dessert,15.28,726,9.4,10.4,21.9,https://example.com/images/item_401.jpg
Pepperoni Pizza #402,Topped with fresh herbs.,Dessert,13.33,434,17.9,4.3,27.6,https://example.com/images/item_402.jpg
Cheeseburger #403,Served with a side of bread.,Pizza,13.25,781,28.0,17.8,47.1,https://example.com/images/item_403.jpg
Chicken Alfredo Pasta #404,Served with a side of bread.,Bowl,7.0,514,8.6,9.4,59.1,https://example.com/images/item_404.jpg
Turkey Club Sandwich #405,Delicious and freshly prepared.,Burger,7.8,512,8.8,18.1,23.0,https://example.com/images/item_405.jpg
Margherita Pizza #406,A customer favorite with premium ingredients.,Wrap,15.99,625,18.8,24.9,45.9,https://example.com/images/item_406.jpg
Caesar Salad #407,A customer favorite with premium ingredients.,Bowl,5.03,149,9.8,11.3,36.1,https://example.com/images/item_407.jpg
Lemonade #408,A customer favorite with premium ingredients.,Dessert,18.43,545,21.2,16.5,18.2,https://example.com/images/item_408.jpg
Greek Salad #409,Served with a side of bread.,Burger,7.15,782,8.2,15.3,63.3,https://example.com/images/item_409.jpg
Quinoa Salad #410,Delicious and freshly prepared.,Pasta,8.5,256,20.0,20.3,21.3,https://example.com/images/item_410.jpg
Veggie Wrap #411,Served with a side of bread.,Salad,11.08,271,20.6,16.3,75.7,https://example.com/images/item_411.jpg
Quinoa Salad #412,Served with a side of bread.,Drink,15.17,363,16.6,17.8,13.8,https://example.com/images/item_412.jpg
Turkey Club Sandwich #413,Perfect for lunch or dinner.,Soup,18.52,469,29.8,5.5,74.8,https://example.com/images/item_413.jpg
Tomato Soup #414,Rich in flavor and nutrients.,Soup,5.47,253,25.1,20.2,74.3,https://example.com/images/item_414.jpg
Grilled Chicken Sandwich #415,A customer favorite with premium ingredients.,Bowl,19.37,668,11.0,10.2,66.9,https://example.com/images/item_415.jpg
Veggie Wrap #416,A customer favorite with premium ingredients.,Burger,7.74,431,17.0,15.8,44.2,https://example.com/images/item_416.jpg
Lemonade #417,A customer favorite with premium ingredients.,Dessert,17.02,317,29.1,13.2,74.7,https://example.com/images/item_417.jpg
Tomato Soup #418,Rich in flavor and nutrients.,Pasta,10.9,675,11.3,16.3,26.0,https://example.com/images/item_418.jpg
Grilled Chicken Sandwich #419,Rich in flavor and nutrients.,Soup,16.23,529,16.1,11.9,33.1,https://example.com/images/item_419.jpg
Cheeseburger #420,Perfect for lunch or dinner.,Pasta,18.03,383,6.3,25.0,64.5,https://example.com/images/item_420.jpg
Margherita Pizza #421,Perfect for lunch or dinner.,Dessert,18.31,401,11.1,10.1,55.1,https://example.com/images/item_421.jpg
Vegan Buddha Bowl #422,A customer favorite with premium ingredients.,Bowl,13.53,653,29.5,17.8,12.8,https://example.com/images/item_422.jpg
Quinoa Salad #423,Rich in flavor and nutrients.,Pasta,17.08,656,25.3,22.4,40.9,https://example.com/images/item_423.jpg
Greek Salad #424,Rich in flavor and nutrients.,Bowl,19.36,522,28.5,16.8,39.0,https://example.com/images/item_424.jpg
Margherita Pizza #425,Served with a side of bread.,Soup,16.93,375,18.8,23.0,31.0,https://example.com/images/item_425.jpg
Greek Salad #426,Delicious and freshly prepared.,Dessert,7.29,742,9.9,22.6,52.6,https://example.com/images/item_426.jpg
Cheeseburger #427,A customer favorite with premium ingredients.,Bowl,15.42,626,23.8,17.4,75.1,https://example.com/images/item_427.jpg
Cheeseburger #428,Delicious and freshly prepared.,Pizza,12.26,243,7.7,9.9,57.2,https://example.com/images/item_428.jpg
Greek Salad #429,Topped with fresh herbs.,Pizza,10.34,442,12.7,19.5,13.1,https://example.com/images/item_429.jpg
Lemonade #430,A customer favorite with premium ingredients.,Sandwich,6.09,144,29.3,11.2,47.9,https://example.com/images/item_430.jpg
Chicken Alfredo Pasta #431,Delicious and freshly prepared.,Pasta,10.65,317,26.4,12.4,59.9,https://example.com/images/item_431.jpg
Grilled Chicken Sandwich #432,Served with a side of bread.,Burger,6.46,720,24.0,18.5,77.5,https://example.com/images/item_432.jpg
Pepperoni Pizza #433,Delicious and freshly prepared.,Pasta,16.56,729,24.1,16.6,58.2,https://example.com/images/item_433.jpg
Chicken Alfredo Pasta #434,Served with a side of bread.,Wrap,13.6,328,22.0,20.9,18.7,https://example.com/images/item_434.jpg
Lemonade #435,Topped with fresh herbs.,Pasta,15.8,470,18.0,11.3,63.9,https://example.com/images/item_435.jpg
Spaghetti Bolognese #436,Delicious and freshly prepared.,Dessert,13.32,353,23.2,7.1,24.0,https://example.com/images/item_436.jpg
Margherita Pizza #437,Delicious and freshly prepared.,Bowl,11.48,691,15.3,8.8,63.5,https://example.com/images/item_437.jpg
